boxer_id,name,wiki_url,norm,pbo_appearances
Hamzah_Sheeraz,Hamzah Sheeraz,https://en.wikipedia.org/wiki/Hamzah_Sheeraz,hamzah sheeraz,14
Chris_Billam-Smith,Chris Billam-Smith,https://en.wikipedia.org/wiki/Chris_Billam-Smith,chris billam smith,14
Denzel_Bentley,Denzel Bentley,https://en.wikipedia.org/wiki/Denzel_Bentley,denzel bentley,14
Karol_Itauma,Karol Itauma,https://en.wikipedia.org/wiki/Karol_Itauma,karol itauma,14
Austin_Williams,Austin Williams,https://en.wikipedia.org/wiki/Austin_Williams,austin williams,14
Troy_Isley,Troy Isley,https://en.wikipedia.org/wiki/Troy_Isley,troy isley,14
Cheavon_Clarke,Cheavon Clarke,https://en.wikipedia.org/wiki/Cheavon_Clarke,cheavon clarke,14
Nico_Ali_Walsh,Nico Ali Walsh,https://en.wikipedia.org/wiki/Nico_Ali_Walsh,nico ali walsh,14
Bruce_Carrington,Bruce Carrington,https://en.wikipedia.org/wiki/Bruce_Carrington,bruce carrington,14
Anthony_Fowler,Anthony Fowler,https://en.wikipedia.org/wiki/Anthony_Fowler,anthony fowler,13
Michael_McKinson,Michael McKinson,https://en.wikipedia.org/wiki/Michael_McKinson,michael mckinson,13
Richard_Riakporhe,Richard Riakporhe,https://en.wikipedia.org/wiki/Richard_Riakporhe,richard riakporhe,13
Claressa_Shields,Claressa Shields,https://en.wikipedia.org/wiki/Claressa_Shields,claressa shields,13
Tyson_Fury,Tyson Fury,https://en.wikipedia.org/wiki/Tyson_Fury,tyson fury,13
Filip_Hrgović,Filip Hrgovic,https://en.wikipedia.org/wiki/Filip_Hrgović,filip hrgovic,13
Ryan_Garcia,Ryan Garcia,https://en.wikipedia.org/wiki/Ryan_Garcia,ryan garcia,13
Robson_Conceicao,Robson Conceicao,https://en.wikipedia.org/wiki/Robson_Conceicao,robson conceicao,13
Craig_Richards,Craig Richards,https://en.wikipedia.org/wiki/Craig_Richards,craig richards,13
Óscar_Valdez,Oscar Valdez,https://en.wikipedia.org/wiki/Óscar_Valdez,oscar valdez,13
Jesse_Rodriguez,Jesse Rodriguez,https://en.wikipedia.org/wiki/Jesse_Rodriguez,jesse rodriguez,13
David_Benavidez,David Benavidez,https://en.wikipedia.org/wiki/David_Benavidez,david benavidez,13
Jai_Opetaia,Jai Opetaia,https://en.wikipedia.org/wiki/Jai_Opetaia,jai opetaia,13
Zelfa_Barrett,Zelfa Barrett,https://en.wikipedia.org/wiki/Zelfa_Barrett,zelfa barrett,13
Dennis_McCann,Dennis McCann,https://en.wikipedia.org/wiki/Dennis_McCann,dennis mccann,13
Willy_Hutchinson,Willy Hutchinson,https://en.wikipedia.org/wiki/Willy_Hutchinson,willy hutchinson,13
Jaron_Ennis,Jaron Ennis,https://en.wikipedia.org/wiki/Jaron_Ennis,jaron ennis,13
Maxi_Hughes,Maxi Hughes,https://en.wikipedia.org/wiki/Maxi_Hughes,maxi hughes,13
Zhilei_Zhang,Zhilei Zhang,https://en.wikipedia.org/wiki/Zhilei_Zhang,zhilei zhang,13
Steven_Butler,Steven Butler,https://en.wikipedia.org/wiki/Steven_Butler,steven butler,13
Mark_Chamberlain,Mark Chamberlain,https://en.wikipedia.org/wiki/Mark_Chamberlain,mark chamberlain,13
Nick_Ball_(boxer),Nick Ball,https://en.wikipedia.org/wiki/Nick_Ball_(boxer),nick ball,13
Dalton_Smith_(boxer),Dalton Smith,https://en.wikipedia.org/wiki/Dalton_Smith_(boxer),dalton smith,13
Harlem_Eubank,Harlem Eubank,https://en.wikipedia.org/wiki/Harlem_Eubank,harlem eubank,13
Justis_Huni,Justis Huni,https://en.wikipedia.org/wiki/Justis_Huni,justis huni,13
Peter_McGrail,Peter McGrail,https://en.wikipedia.org/wiki/Peter_McGrail,peter mcgrail,13
Pat_McCormack,Pat McCormack,https://en.wikipedia.org/wiki/Pat_McCormack,pat mccormack,13
Raymond_Muratalla,Raymond Muratalla,https://en.wikipedia.org/wiki/Raymond_Muratalla,raymond muratalla,13
Xander_Zayas,Xander Zayas,https://en.wikipedia.org/wiki/Xander_Zayas,xander zayas,13
Lee_McGregor,Lee McGregor,https://en.wikipedia.org/wiki/Lee_McGregor,lee mcgregor,12
Hughie_Fury,Hughie Fury,https://en.wikipedia.org/wiki/Hughie_Fury,hughie fury,12
José_Pedraza_(boxer),José Pedraza,https://en.wikipedia.org/wiki/José_Pedraza_(boxer),jose pedraza,12
Gilberto_Ramírez,Gilberto Ramírez,https://en.wikipedia.org/wiki/Gilberto_Ram%C3%ADrez,gilberto ramirez,12
Vergil_Ortiz_Jr.,Vergil Ortiz Jr.,https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.,vergil ortiz,12
Kazuto_Ioka,Kazuto Ioka,https://en.wikipedia.org/wiki/Kazuto_Ioka,kazuto ioka,12
Chris_Colbert,Chris Colbert,https://en.wikipedia.org/wiki/Chris_Colbert,chris colbert,12
Richardson_Hitchins,Richardson Hitchins,https://en.wikipedia.org/wiki/Richardson_Hitchins,richardson hitchins,12
Israil_Madrimov,Israil Madrimov,https://en.wikipedia.org/wiki/Israil_Madrimov,israil madrimov,12
Luis_Nery,Luis Nery,https://en.wikipedia.org/wiki/Luis_Nery,luis nery,12
Natasha_Jonas,Natasha Jonas,https://en.wikipedia.org/wiki/Natasha_Jonas,natasha jonas,12
Andres_Cortes,Andres Cortes,https://en.wikipedia.org/wiki/Andres_Cortes,andres cortes,12
Arnold_Barboza_Jr,Arnold Barboza Jr,https://en.wikipedia.org/wiki/Arnold_Barboza_Jr,arnold barboza,12
Otto_Wallin,Otto Wallin,https://en.wikipedia.org/wiki/Otto_Wallin,otto wallin,12
Conor_Benn,Conor Benn,https://en.wikipedia.org/wiki/Conor_Benn,conor benn,12
Joe_Cordina,Joe Cordina,https://en.wikipedia.org/wiki/Joe_Cordina,joe cordina,12
John_Riel_Casimero,John Riel Casimero,https://en.wikipedia.org/wiki/John_Riel_Casimero,john riel casimero,12
Vaughn_Alexander,Vaughn Alexander,https://en.wikipedia.org/wiki/Vaughn_Alexander,vaughn alexander,12
Zak_Chelli,Zak Chelli,https://en.wikipedia.org/wiki/Zak_Chelli,zak chelli,12
Serhii_Bohachuk,Serhii Bohachuk,https://en.wikipedia.org/wiki/Serhii_Bohachuk,serhii bohachuk,12
Adam_Lopez,Adam Lopez,https://en.wikipedia.org/wiki/Adam_Lopez,adam lopez,12
Gabriel_Flores_Jr,Gabriel Flores Jr,https://en.wikipedia.org/wiki/Gabriel_Flores_Jr,gabriel flores,12
Michel_Rivera,Michel Rivera,https://en.wikipedia.org/wiki/Michel_Rivera,michel rivera,12
Jack_Cullen,Jack Cullen,https://en.wikipedia.org/wiki/Jack_Cullen,jack cullen,12
Padraig_McCrory,Padraig McCrory,https://en.wikipedia.org/wiki/Padraig_McCrory,padraig mccrory,12
Arslanbek_Makhmudov,Arslanbek Makhmudov,https://en.wikipedia.org/wiki/Arslanbek_Makhmudov,arslanbek makhmudov,12
Brandun_Lee,Brandun Lee,https://en.wikipedia.org/wiki/Brandun_Lee,brandun lee,12
Guido_Vianello,Guido Vianello,https://en.wikipedia.org/wiki/Guido_Vianello,guido vianello,12
