name,pbo_appearances
Omar Juarez,9
Oscar Collazo,9
Paddy Donovan,9
Paulo Aokuso,9
Ramla Ali,9
Rene Alvarado,9
Renold Quinlan,9
Ruben Villa,9
Sam Maxwell,9
Sandor Martin,9
Sergiy Derevyanchenko,9
Shakan Pitters,9
Solomon Dacres,9
Sulaiman Segawa,9
Tj Doheny,9
Tommy Frank,9
Tommy Fury,9
Tony Yoka,9
Tyler Denny,9
Xavier Martinez,9
Aaron McKenna,8
Abass Baraou,8
Albert Batyrgaziev,8
Alexander Espinoza,8
Amine Boucetta,8
Andrew Cain,8
Azat Hovhannisyan,8
Brad Strand,8
Bradley Rea,8
Buse Naz Cakiroglu,8
Cherneka Johnson,8
Chris Bourke,8
Chris Jenkins,8
Courtney Pennington,8
Dana Coolwell,8
Darius Fulghum,8
Demetrius Andrade,8
Dennis Hogan,8
Deontay Wilder,8
Dmitri Protkunas,8
Egidijus Kavaliauskas,8
Eric Priest,8
Francesca Hennessy,8
Frank Martin,8
Gary Antuanne Russell,8
Gemma Ruegg,8
Giovanni Cabrera,8
Harry Scarff,8
Hiroto Kyoguchi,8
Hopey Price,8
Ibraheem Sulaimaan,8
Isaac Chamberlain,8
Isaac Dogboe,8
Jack Bateson,8
Jay Harris,8
Jeff Ofori,8
Jeison Rosario,8
Jermell Charlo,8
Jerwin Ancajas,8
Jesus Alejandro Ramos,8
Joe Smith Jr,8
Joel Iriarte,8
Joey Spencer,8
Julio Cesar Martinez,8
Justin Pauldo,8
Kaisee Benjamin,8
Kellie Harrington,8
Lee Cutler,8
Lerrone Richards,8
Li Qian,8
Liam Dillon,8
Louis Greene,8
Maciej Sulecki,8
Manuel Flores,8
Mark Heffron,8
Marlon Tapales,8
Martin Bakole Ilunga,8
Mary Romero,8
Mary Spencer,8
Mauricio Lara,8
Miguel Marriaga,8
Mikael Lawal,8
Milan Prat,8
Mohamed Mimoune,8
Movladdin Biyarslanov,8
Najee Lopez,8
Nathaniel Collins,8
Nicklaus Flaz,8
O'Shaquie Foster,8
Oleksandr Khyzhniak,8
Paul Butler,8
Przemyslaw Runowski,8
Qais Ashfaq,8
Raeese Aleem,8
Raul Curiel,8
Raven Chapman,8
Ricardo Rafael Sandoval,8
River Wilson Bent,8
Roman Fress,8
Roman Gonzalez,8
Ryan Rozicki,8
Ryan Walsh,8
Samuel Molina,8
Sean Noakes,8
Shannon Courtenay,8
Steven Nelson,8
Sultan Zaurbek,8
Tenshin Nasukawa,8
Terrell Gausha,8
