event_id,event_date,matchup_id,fighter_a,fighter_b,price_a,price_b,n_books_a,n_books_b,market_prob_a,market_prob_b,weight_class
987,2019-01-26,6740,Antonio Russell,Lucas Rafael Baez,-10000,1800,1,1,0.9495252373813095,0.050474762618690654,
987,2019-01-26,6737,Gabor Gorbics,Miguel Cruz,1400,-5000,1,1,0.06367041198501872,0.9363295880149812,
987,2019-01-26,6769,Chris Colbert,Josh Hernandez,-909,550,1,1,0.854138055655945,0.14586194434405494,
987,2019-01-26,6739,Chordale Booker,Juan de Angel,-3333,1200,1,1,0.9265856892348489,0.0734143107651512,
987,2019-01-26,6768,Alberto Melian,Edgar Ortega,-455,300,1,1,0.7663157894736842,0.23368421052631577,
987,2019-01-26,6738,Jesus A Valdez,Vergil Ortiz Jr,1800,-10000,1,1,0.050474762618690654,0.9495252373813095,
987,2019-01-26,6750,Claudio Marrero,Tugstogt Nyambayar,550,-1000,1,1,0.14473684210526316,0.8552631578947368,
987,2019-01-26,6675,Adam Kownacki,Gerald Washington,-714,450,1,1,0.8283062645011601,0.1716937354988399,
987,2019-01-26,6748,Josesito Lopez,Keith Thurman,1200,-5000,1,1,0.07275320970042796,0.927246790299572,
987,2019-01-26,6749,Can Xu,Jesus M Rojas,500,-833,1,1,0.1573090541224077,0.8426909458775923,
996,2019-02-01,6855,Dominic Wade,Martin Fidel Rios,-10000,1800,1,1,0.9495252373813095,0.050474762618690654,
996,2019-02-01,6857,Thomas Mattice,Will Madera,-1000,550,1,1,0.8552631578947368,0.14473684210526316,
996,2019-02-01,6856,Abraham Nova,Oluwaseun Joshua Wahab,-1000,550,1,1,0.8552631578947368,0.14473684210526316,
996,2019-02-01,6858,Deandre Ware,Ronald Ellis,500,-833,1,1,0.1573090541224077,0.8426909458775923,
929,2019-02-02,6902,Radoslav Mitev,Scott Fitzgerald,1600,-10000,1,1,0.0560799555802332,0.9439200444197667,
929,2019-02-02,6894,John Docherty,Przemyslaw Binienda,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
929,2019-02-02,6871,Lawrence Okolie,Shawn Miller,-5000,1100,1,1,0.9216589861751152,0.07834101382488479,
929,2019-02-02,6870,Filip Rzadek,Scott Fitzgerald,1600,-10000,1,1,0.0560799555802332,0.9439200444197667,
929,2019-02-02,6869,Fabio Wardley,Morgan Dessaux,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
929,2019-02-02,6789,Craig Richards,Jake Ball,120,-164,1,1,0.4225352112676056,0.5774647887323944,
929,2019-02-02,6788,Eleider Alvarez,Sergey Kovalev,-175,137,1,1,0.6013048205871693,0.3986951794128307,
